# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 2129 1 4480 66306 45775444 3 ./radeon/CEDAR_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2129 1 4480 66306 45776096 3 ./radeon/REDWOOD_pfp.bin
DUPTYPE_FIRST_OCCURRENCE 2133 1 4480 66306 45776101 3 ./radeon/CYPRESS_pfp.bin
DUPTYPE_WITHIN_SAME_TREE -2133 1 4480 66306 45776095 3 ./radeon/JUNIPER_pfp.bin
DUPTYPE_FIRST_OCCURRENCE 1217 1 4552 66306 45771510 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ed3-spkid0-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1217 1 4552 66306 45771288 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ed3-spkid1-r0.bin
DUPTYPE_FIRST_OCCURRENCE 1216 1 4552 66306 45770934 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ed3-spkid0-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1216 1 4552 66306 45770603 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ed3-spkid1-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1117 1 4644 66306 45771282 3 ./cirrus/cs35l41-dsp1-spk-prot-10431433-spkid0-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1117 1 4644 66306 45771612 3 ./cirrus/cs35l41-dsp1-spk-prot-10431433-spkid1-r0.bin
DUPTYPE_FIRST_OCCURRENCE 1116 1 4648 66306 45770816 3 ./cirrus/cs35l41-dsp1-spk-prot-10431433-spkid0-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1116 1 4648 66306 45770610 3 ./cirrus/cs35l41-dsp1-spk-prot-10431433-spkid1-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1196 1 4648 66306 45770834 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ccf-spkid0-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1196 1 4648 66306 45770695 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a30-spkid1-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1172 1 4648 66306 45771305 3 ./cirrus/cs35l41-dsp1-spk-prot-10431b93-spkid0-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1172 1 4648 66306 45771283 3 ./cirrus/cs35l41-dsp1-spk-prot-10431c9f-spkid1-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1203 1 4656 66306 45771318 3 ./cirrus/cs35l41-dsp1-spk-prot-10431cef-spkid1-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1203 1 4656 66306 45771502 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a50-spkid0-r0.bin
DUPTYPE_FIRST_OCCURRENCE 1198 1 4656 66306 45771568 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ccf-spkid1-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1198 1 4656 66306 45770942 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a30-spkid0-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1194 1 4656 66306 45771470 3 ./cirrus/cs35l41-dsp1-spk-prot-10431caf-spkid1-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1194 1 4656 66306 45771423 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a60-spkid0-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1175 1 4656 66306 45770920 3 ./cirrus/cs35l41-dsp1-spk-prot-10431b93-spkid1-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1175 1 4656 66306 45771175 3 ./cirrus/cs35l41-dsp1-spk-prot-10431c9f-spkid0-r0.bin
DUPTYPE_FIRST_OCCURRENCE 1199 1 4660 66306 45770812 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ccf-spkid1-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1199 1 4660 66306 45771349 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a30-spkid0-r0.bin
DUPTYPE_FIRST_OCCURRENCE 1202 1 4660 66306 45771622 3 ./cirrus/cs35l41-dsp1-spk-prot-10431cef-spkid1-l0.bin
DUPTYPE_WITHIN_SAME_TREE -1202 1 4660 66306 45770609 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a50-spkid0-l0.bin
DUPTYPE_FIRST_OCCURRENCE 1197 1 4660 66306 45771084 3 ./cirrus/cs35l41-dsp1-spk-prot-10431ccf-spkid0-r0.bin
DUPTYPE_WITHIN_SAME_TREE -1197 1 4660 66306 45771193 3 ./cirrus/cs35l41-dsp1-spk-prot-10433a30-spkid1-r0.bin
